Source1,Physical only,Sexual only,Both physical and sexual,Total
,,,,
Own family,62.2,58.4,58.3,60.9
Husband's family,30.4,13.9,28.1,29.3
Current/former husband,1,3.6,1.9,1.3
Current/former boyfriend,0.4,1.1,0.3,0.4
Friend,15.4,24.3,18.7,16.6
Neighbour,7.8,3.6,9.7,8.3
Religious leader,2.6,0.5,2,2.4
Doctor/medical personnel,2.7,1.2,1.7,2.4
Police,5.4,4.7,8.2,6.3
Lawyer,2.4,0,1.6,2.1
Social service organization,3.3,0,2.2,2.9
Other,2.1,0,0.8,1.7
,,,,
Number of women,"1,983",54,949,"2,986"